,DATE,SENTIMENT,IMPACT_SCORE
0,2021/2/2,neutral,-0.0017880352
1,2021/2/18,positive,0.88207656
2,2021/3/8,neutral,0.14999273
3,2021/3/30,negative,-0.95121974
4,2021/3/24,negative,-0.7085286
5,2021/3/8,neutral,0.14245324
6,2021/3/16,neutral,0.05371422
7,2021/4/14,positive,0.9270087
8,2021/4/12,neutral,0.31835172
9,2021/4/19,neutral,0.15294291
10,2021/5/26,neutral,0.091002695
11,2021/6/2,negative,-0.9292693
12,2021/6/1,neutral,0.023533313
13,2021/6/1,neutral,0.03970572
14,2021/5/26,neutral,0.31943968
15,2021/6/3,neutral,0.30073807
16,2021/6/4,positive,0.5546208
17,2021/6/8,neutral,0.051024064
18,2021/6/22,neutral,0.0033974722
19,2021/6/7,positive,0.6855222
20,2021/7/6,positive,0.9208614
21,2021/6/11,neutral,0.05493962
22,2021/6/15,neutral,0.035159744
23,2021/6/11,neutral,0.028032746
24,2021/6/10,neutral,0.20887046
25,2021/6/14,neutral,0.0981826
26,2021/7/6,positive,0.057965018
27,2021/7/30,negative,-0.9646924
28,2021/7/26,positive,0.9006581
29,2021/8/6,neutral,0.25214395
30,2021/8/2,negative,-0.9325524
31,2021/7/13,neutral,0.002263628
32,2021/7/29,neutral,0.026887596
33,2021/7/27,negative,-0.7873114
34,2021/8/4,positive,0.9181423
35,2021/7/19,negative,-0.8785103
36,2021/7/6,positive,0.9208614
37,2021/7/15,negative,-0.58616394
38,2021/7/12,positive,0.68570906
39,2021/7/21,neutral,0.0582676
40,2021/7/16,positive,0.41736987
41,2021/8/11,neutral,0.0027002767
42,2021/8/6,neutral,0.25214395
43,2021/8/31,neutral,0.044802018
44,2021/8/16,negative,-0.9603097
45,2021/8/17,neutral,0.09797549
46,2021/8/10,neutral,0.03189278
47,2021/10/1,neutral,0.17936376
48,2021/11/1,neutral,0.28363132
49,2021/10/25,positive,0.84512186
50,2021/11/1,positive,0.9283089
51,2021/11/17,negative,-0.9646921
52,2021/11/17,neutral,0.3777236
53,2021/11/19,neutral,0.22166565
54,2022/1/5,positive,0.9158856
55,2021/12/11,negative,-0.8487054
56,2021/12/23,negative,-0.8804932
57,2021/12/29,negative,-0.5071689
58,2021/12/22,neutral,0.31617475
59,2021/12/13,neutral,0.07068784
60,2021/12/30,negative,-0.83916163
61,2021/12/20,neutral,0.08529968
62,2021/12/15,neutral,0.40729466
63,2021/12/13,positive,0.9117594
64,2022/1/2,negative,-0.6582153
65,2021/12/30,neutral,0.033087324
66,2021/12/23,positive,0.8245217
67,2021/12/21,neutral,0.054610185
68,2021/12/9,positive,0.55022806
69,2021/1/11,negative,-0.9226953
70,2021/1/13,negative,-0.866626
71,2021/1/20,neutral,0.18899047
72,2021/1/4,neutral,0.005436875
73,2021/1/16,negative,-0.6112608
74,2021/1/5,positive,0.92453307
75,2021/1/26,neutral,-0.16193241
76,2021/1/21,negative,-0.8647592
77,2021/1/26,positive,0.87914354
78,2021/1/15,neutral,0.15844005
79,2021/1/13,positive,0.55668014
80,2021/1/15,neutral,-0.017676264
81,2021/2/1,neutral,0.045703046
82,2021/1/5,neutral,0.40225247
83,2021/1/26,neutral,-0.01669287
84,2021/1/26,positive,0.69134015
85,2021/1/23,neutral,0.21839783
86,2021/1/25,positive,0.8358437
87,2021/1/12,positive,0.85984343
88,2021/1/15,negative,-0.9447426
89,2021/1/8,positive,0.93117607
90,2021/1/6,positive,0.73567474
91,2021/1/13,positive,0.616235
92,2021/1/19,neutral,0.115931116
93,2021/1/26,negative,-0.94621783
94,2021/2/2,neutral,-0.0028376654
95,2021/3/4,neutral,0.027048087
96,2021/2/28,neutral,-0.23679687
97,2021/2/2,neutral,0.09123828
98,2021/3/4,neutral,0.1990005
99,2021/2/2,neutral,0.19155902
100,2021/2/3,neutral,0.01331931
101,2021/2/17,negative,-0.9395082
102,2021/2/16,neutral,0.4044077
103,2021/2/17,neutral,0.069057904
104,2021/2/17,neutral,0.1357488
105,2021/2/8,neutral,0.15232635
106,2021/2/12,neutral,-0.04216868
107,2021/2/1,neutral,0.045703046
108,2021/2/5,negative,-0.806011
109,2021/2/12,negative,-0.8729407
110,2021/2/18,neutral,-0.03113422
111,2021/2/23,neutral,0.17413595
112,2021/2/11,negative,-0.9093681
113,2021/2/3,positive,0.92665815
114,2021/3/4,negative,-0.63484263
115,2021/3/3,neutral,-0.0007205233
116,2021/2/18,positive,0.9231096
117,2021/2/5,positive,0.5268548
118,2021/2/28,neutral,0.08540485
119,2021/2/17,neutral,0.019059509
120,2021/2/10,neutral,0.2725079
121,2021/2/5,neutral,0.25830022
122,2021/2/3,neutral,0.05166159
123,2021/2/13,neutral,0.058168456
124,2021/2/3,neutral,-0.19328037
125,2021/2/11,negative,-0.9352489
126,2021/2/3,neutral,0.03871478
127,2021/2/2,positive,0.94219804
128,2021/2/2,neutral,-0.0020493437
129,2021/3/18,positive,0.6991841
130,2021/3/29,neutral,-0.3450491
131,2021/3/17,positive,0.7852401
132,2021/4/3,negative,-0.93562424
133,2021/3/31,neutral,-0.15390426
134,2021/3/4,neutral,0.027048087
135,2021/3/4,neutral,0.1990005
136,2021/3/12,neutral,-0.123694815
137,2021/3/23,neutral,-0.40945178
138,2021/3/25,negative,-0.8978214
139,2021/3/18,positive,0.63013494
140,2021/3/30,neutral,0.08250543
141,2021/3/25,neutral,0.16393843
142,2021/3/8,positive,0.80455387
143,2021/3/25,neutral,0.28738
144,2021/3/17,positive,0.9288825
145,2021/3/5,neutral,0.028739497
146,2021/3/18,neutral,0.0248605
147,2021/3/15,neutral,0.1729912
148,2021/3/26,positive,0.62384534
149,2021/3/30,positive,0.8237993
150,2021/3/23,positive,0.92526054
151,2021/3/4,negative,-0.63484263
152,2021/3/18,neutral,0.06769265
153,2021/3/15,positive,0.7375175
154,2021/3/31,positive,0.8592238
155,2021/3/31,negative,-0.9631177
156,2021/4/7,neutral,0.08390276
157,2021/4/21,positive,0.5238241
158,2021/4/16,neutral,-0.14852594
159,2021/5/3,positive,0.6701411
160,2021/4/29,neutral,-0.0074337795
161,2021/4/5,negative,-0.9317088
162,2021/4/28,positive,0.6311729
163,2021/4/15,neutral,0.048186235
164,2021/4/16,neutral,0.06042167
165,2021/4/27,positive,0.7517774
166,2021/4/14,neutral,0.42000124
167,2021/4/19,positive,0.8070429
168,2021/5/1,neutral,0.03370247
169,2021/5/5,neutral,-0.0023566636
170,2021/4/14,neutral,-0.04986331
171,2021/5/3,neutral,0.09400148
172,2021/4/15,positive,0.86472213
173,2021/4/23,neutral,-0.2524349
174,2021/4/27,positive,0.583301
175,2021/4/8,neutral,0.028951993
176,2021/4/25,neutral,-0.00846339
177,2021/4/29,positive,0.8558215
178,2021/4/20,neutral,0.17689477
179,2021/4/21,neutral,0.24488433
180,2021/4/29,neutral,0.03894215
181,2021/4/15,positive,0.8029256
182,2021/4/22,positive,0.4626661
183,2021/4/20,neutral,0.12754887
184,2021/5/26,neutral,0.17211618
185,2021/6/1,neutral,-0.04482838
186,2021/5/13,neutral,0.1279653
187,2021/5/26,neutral,-0.28120852
188,2021/5/25,negative,-0.43863848
189,2021/5/21,neutral,0.0011940077
190,2021/5/14,negative,-0.8683345
191,2021/6/2,neutral,0.25401318
192,2021/5/12,negative,-0.7800983
193,2021/5/6,negative,-0.61409485
194,2021/5/13,positive,0.83518624
195,2021/6/1,negative,-0.7508184
196,2021/5/5,neutral,-0.0023566636
197,2021/5/12,neutral,0.25301597
198,2021/5/20,neutral,0.037797634
199,2021/5/8,neutral,-0.055349257
200,2021/5/18,positive,0.81218636
201,2021/5/19,neutral,0.21690525
202,2021/5/7,positive,0.9297688
203,2021/6/3,neutral,-0.21527016
204,2021/5/26,negative,-0.93383783
205,2021/5/25,neutral,0.08709731
206,2021/5/7,negative,-0.94319296
207,2021/5/17,negative,-0.28004816
208,2021/5/29,neutral,0.043480434
209,2021/5/30,neutral,0.053545255
210,2021/5/6,positive,0.93978006
211,2021/5/7,neutral,0.21289553
212,2021/5/25,positive,0.8032491
213,2021/5/13,neutral,0.07303517
214,2021/5/17,neutral,0.017257951
215,2021/5/24,negative,-0.22374025
216,2021/5/6,neutral,0.052086756
217,2021/6/20,neutral,0.059958488
218,2021/7/5,neutral,0.0058736308
219,2021/6/30,negative,-0.45845824
220,2021/6/9,neutral,0.3913442
221,2021/6/25,neutral,-0.06203932
222,2021/6/11,negative,-0.7796316
223,2021/6/7,positive,0.8780793
224,2021/6/22,negative,-0.14848244
225,2021/6/16,negative,-0.9316291
226,2021/6/23,positive,0.8952959
227,2021/6/25,neutral,0.41690138
228,2021/6/13,neutral,0.121382974
229,2021/6/24,positive,0.6540858
230,2021/6/9,neutral,-0.27158034
231,2021/6/14,neutral,0.1469436
232,2021/6/30,positive,0.9220257
233,2021/6/20,neutral,0.016633945
234,2021/6/24,neutral,-0.023552176
235,2021/6/9,neutral,0.26533082
236,2021/7/1,neutral,0.36468711
237,2021/6/11,positive,0.805265
238,2021/6/18,positive,0.65288377
239,2021/6/21,neutral,0.18318869
240,2021/6/22,neutral,0.06803409
241,2021/6/19,neutral,0.12547307
242,2021/6/8,neutral,0.1511869
243,2021/6/21,neutral,0.047991883
244,2021/6/17,positive,0.85331255
245,2021/7/20,neutral,0.08144125
246,2021/7/23,positive,0.7405932
247,2021/8/6,neutral,-0.3200448
248,2021/7/29,negative,-0.96441317
249,2021/8/2,neutral,0.013153225
250,2021/7/30,negative,-0.8381723
251,2021/7/14,negative,-0.9114817
252,2021/7/29,negative,-0.9647264
253,2021/7/15,neutral,0.02520958
254,2021/7/23,positive,0.6086701
255,2021/8/2,negative,-0.81979656
256,2021/7/16,negative,-0.9346434
257,2021/7/29,neutral,0.07114009
258,2021/7/16,negative,-0.9374635
259,2021/8/2,neutral,0.091257416
260,2021/8/5,neutral,0.089635506
261,2021/7/30,negative,-0.7834373
262,2021/7/29,positive,0.82780164
263,2021/7/15,neutral,0.080271475
264,2021/7/30,negative,-0.9455693
265,2021/7/21,negative,-0.49811828
266,2021/7/28,neutral,0.22107512
267,2021/7/30,negative,-0.9666482
268,2021/8/4,negative,-0.81552345
269,2021/7/20,negative,-0.4280345
270,2021/7/29,negative,-0.96433806
271,2021/8/5,neutral,-0.36628586
272,2021/7/28,neutral,0.10660845
273,2021/8/1,neutral,0.07771221
274,2021/7/29,neutral,-0.07010902
275,2021/8/6,neutral,-0.3200448
276,2021/8/19,neutral,0.1862517
277,2021/9/1,neutral,0.14118432
278,2021/8/27,neutral,0.4405261
279,2021/8/13,positive,0.82803977
280,2021/8/10,neutral,0.28269348
281,2021/8/24,neutral,-0.024703678
282,2021/8/27,neutral,0.11422632
283,2021/8/30,positive,0.75908834
284,2021/8/11,positive,0.65728205
285,2021/8/25,neutral,-0.022789255
286,2021/8/18,neutral,0.12981585
287,2021/9/5,neutral,0.05752009
288,2021/8/16,neutral,-0.31300837
289,2021/9/4,positive,0.7283872
290,2021/8/7,neutral,0.067738816
291,2021/8/20,negative,-0.49206418
292,2021/8/24,neutral,-0.017060213
293,2021/8/24,neutral,0.43719307
