,DATE,SENTIMENT,IMPACT_SCORE
0,2021/1/1,positive,0.8836675
1,2021/1/1,neutral,0.12830706
2,2021/1/2,neutral,0.21205229
3,2021/1/2,neutral,0.13867764
4,2021/1/2,positive,0.70932543
5,2021/1/3,neutral,-0.013761825
6,2021/1/3,neutral,0.2520964
7,2021/1/4,neutral,0.43046236
8,2021/1/4,positive,0.9115784
9,2021/1/4,neutral,0.17213225
10,2021/1/4,neutral,0.07152397
11,2021/1/5,neutral,0.074913174
12,2021/1/5,neutral,-0.0071357414
13,2021/1/5,neutral,0.03317044
14,2021/1/5,positive,0.8657547
15,2021/1/5,neutral,0.009520244
16,2021/1/5,neutral,0.17068201
17,2021/1/5,negative,-0.4758582
18,2021/1/5,positive,0.92489266
19,2021/1/5,neutral,0.070945464
20,2021/1/5,neutral,0.056110766
21,2021/1/6,positive,0.7570773
22,2021/1/6,negative,-0.5830921
23,2021/1/6,positive,0.73567474
24,2021/1/6,negative,-0.77839476
25,2021/1/6,positive,0.92402136
26,2021/1/6,neutral,0.15726936
27,2021/1/7,neutral,-0.009096507
28,2021/1/7,positive,0.8164046
29,2021/1/7,negative,-0.29606998
30,2021/1/7,neutral,0.13676223
31,2021/1/7,neutral,0.22152285
32,2021/1/7,neutral,0.22152285
33,2021/1/7,positive,0.7109364
34,2021/1/7,neutral,-0.01333791
35,2021/1/8,neutral,0.033576306
36,2021/1/8,neutral,0.11776392
37,2021/1/8,negative,-0.8878919
38,2021/1/8,negative,-0.77833396
39,2021/1/8,neutral,0.07324071
40,2021/1/9,negative,-0.8865994
41,2021/1/9,neutral,0.29304343
42,2021/1/9,negative,-0.9192369
43,2021/1/9,neutral,0.096456796
44,2021/1/10,neutral,0.09949915
45,2021/1/10,neutral,0.28139764
46,2021/1/10,positive,0.89389986
47,2021/1/10,positive,0.64681834
48,2021/1/11,neutral,0.30364144
49,2021/1/11,neutral,0.18722688
50,2021/1/11,neutral,0.12704666
51,2021/1/11,neutral,0.08570585
52,2021/1/11,positive,0.93037575
53,2021/1/11,neutral,0.13794999
54,2021/1/12,negative,-0.8531113
55,2021/1/12,negative,-0.74543595
56,2021/1/12,neutral,-0.11846008
57,2021/1/12,neutral,0.016247535
58,2021/1/12,negative,-0.92834693
59,2021/1/12,neutral,-0.38031536
60,2021/1/13,positive,0.53369105
61,2021/1/13,neutral,0.17339318
62,2021/1/13,neutral,0.2550077
63,2021/1/13,positive,0.49905264
64,2021/1/13,neutral,0.07685599
65,2021/1/13,positive,0.92185384
66,2021/1/13,positive,0.7765719
67,2021/1/13,neutral,0.048139244
68,2021/1/13,positive,0.5416557
69,2021/1/14,neutral,0.004097085
