,Title,DATE,SENTIMENT,IMPACT_SCORE
0,Microsoft Stock: What Bulls And Bears Are Saying,2021/3/10,neutral,0.08620184
1,Here's How Microsoft Stock Can Hit New Highs,2021/3/22,neutral,0.011093722
2,"A Look At Big Tech Earnings This Week: Apple, Amazon and Microsoft",2021/4/30,positive,0.8123102
3,"Binance Lists Apple, Microsoft and MicroStrategy Stock Tokens",2021/4/30,neutral,0.04837242
4,Microsoft Stock: Expect Another Killer Quarter Ahead,2021/4/22,neutral,0.07753986
5,Microsoft Stock To Join Apple In $2 Trillion Club,2021/4/9,positive,0.935284
6,Watch: Bill Gates' Top 5 Books For Summer Reading,2021/6/18,neutral,0.017368138
7,"Cramer's Mad Money Recap: Amazon, Microsoft, Apple",2021/7/6,neutral,0.16279124
8,"Tech on Top as Nvidia, Apple, Amazon and Microsoft Outpace",2021/7/12,positive,0.68570906
9,Where to Buy Microsoft as Tech Stocks Correct,2021/7/19,neutral,-0.18209524
10,"Cramer's Mad Money Recap: Amazon, Microsoft, Apple",2021/7/6,neutral,0.16279124
11,"Microsoft Stock Hits Record High, $2.3 Trillion Market Value, With Apple in Sight",2021/8/20,positive,0.92111826
12,Microsoft is Launching Tools to Build Metaverse for Businesses,2021/11/2,positive,0.6290979
13,Microsoft CEO Dumps Half of Shares Ahead of Capital Gains Tax Change,2021/11/30,neutral,-0.11886029
14,Microsoft Adds a Cheaper Teams to Take Down Zoom,2021/12/1,neutral,0.06578777
15,"Jefferies Likes Facebook, Apple, Microsoft as Metaverse Plays",2021/12/6,neutral,0.074129365
16,"Microsoft Stock Slides, Leading Big Cap Tech Names Lower, As Fed Meeting Looms",2021/12/14,negative,-0.96574575
17,"Alphabet, Microsoft Invest In Their Cloud Customers",2021/12/29,positive,0.86446935
18,Microsoft is investing and partnering with GM's Cruise on self-driving cars,2021/1/19,positive,0.907441
19,Microsoft puts political contributions on hold after Capitol siege,2021/1/11,neutral,0.10826298
20,"SolarWinds hackers accessed Microsoft source code, the company says",2021/1/1,neutral,-0.0028230883
21,"As Google eyes Australia exit, Microsoft talks Bing with prime minister",2021/1/31,positive,0.80217636
22,Microsoft's cloud will now help power a project co-created by Google sister company Verily,2021/1/11,neutral,0.05419031
23,Microsoft releases Surface Pro tablet for business and education,2021/1/11,neutral,0.31581107
24,"Azure cloud will pass Office to become Microsoft's biggest business next year, says analyst",2021/1/28,positive,0.5179544
25,Microsoft employees question donations to senators who support Trump's attempt to overturn election,2021/1/5,negative,-0.78331095
26,"Microsoft, Salesforce and Oracle back plan to develop a digital Covid vaccination passport",2021/1/14,positive,0.5086106
27,Microsoft President Brad Smith explains how political contributions really work,2021/1/22,neutral,-0.010129162
28,Alphabet and Facebook rise after Microsoft reports surprisingly strong advertising revenue,2021/1/26,positive,0.8983665
29,"Stocks making the biggest moves midday: GameStop, AMC Entertainment, Microsoft and more",2021/1/27,positive,0.93745023
30,"Stocks making the biggest moves after hours: Microsoft, GameStop, Starbucks & more",2021/1/26,positive,0.4659036
31,"Microsoft is a buy into earnings even as it nears all-time high, two traders say",2021/1/25,neutral,0.27881408
32,Microsoft says it would never ‘threaten to leave' Australia after Google said it could withdraw search engine,2021/2/3,negative,-0.6982587
33,Microsoft says Chinese hackers targeted groups via its server software,2021/3/3,negative,-0.7462916
34,Microsoft president: The only reason we know about SolarWinds hack is because FireEye told us,2021/2/23,positive,0.5681278
35,Microsoft beefs up Teams with learning tools as companies prepare to reopen offices,2021/2/4,neutral,0.06835595
36,"Microsoft shows off its vision for future meetings, with your colleagues as holograms floating in space",2021/3/2,neutral,0.08249517
37,Microsoft says it won't give money to Congress members who voted against Electoral College confirmation,2021/2/5,negative,-0.7791309
38,Microsoft CEO Satya Nadella: Saying 'my team is great and everyone else sucks' is not leadership,2021/3/3,neutral,0.1054285
39,The tech industry is looking to replace the smartphone — and everybody is waiting to see what Apple comes up with,2021/2/20,neutral,0.04746807
40,Big Tech's road to underperformance and why its dominance is waning,2021/2/4,neutral,0.15812081
41,"Microsoft's big email hack: What happened, who did it, and why it matters",2021/3/9,negative,-0.8259904
42,Microsoft to reopen its headquarters to more employees on March 29,2021/3/22,neutral,0.04646849
43,Microsoft investigating issues with Microsoft 365 services and features,2021/4/1,negative,-0.88862926
